Title;Year;Classification;Duration;Genre;Directors;Writers;Cast;TechCrew
Onde Bate o Sol;1989;N/C;88 min;['Drama'];['Joaquim Pinto'];['Joaquim Pinto'];['António Pedro Figueiredo', 'António Ricardo', 'Arnaldo Saraiva', 'Francisco Nascimento', 'Inês de Medeiros', 'Joaquim Vicente', 'Laura Morante', 'Luís Miguel Cintra', 'Manuel Lobão', 'Marcello Urgeghe', 'Maria de Medeiros', 'Maria Ortega', 'Vicente Pinto'];{'Assistente de Imagem': [['Rui Henriques']], 'Assistente de Produção': [['Maria João Madeira']], 'Assistente de Realização': [['Inês de Medeiros']], 'Diálogos': [['Joaquim Pinto', 'Eduarda Chiotte']], 'Direcção de Fotografia': [['Joaquim Pinto']], 'Direcção de Produção': [['Marina Meireles', 'João Pedro Bénard da Costa']], 'Direcção de Som': [['Francisco Veloso']], 'Electricista': [['Mário Castanheira']], 'Montagem': [['Claudio Martinez', 'Vítor Moreira']], 'Música': [['Miso Ensemble', 'Kenneth Frazer', 'Croix Sainte', 'Michael Galssbuner', 'Sei Miguel', 'Mário Franco']], 'Músicos': [['Paula Azquime', 'Kenneth Frazer', 'Luís San-Payo', 'Robert Falssbauer', 'Sei Miguel', 'Paulo Monteiro', 'Miguel Azquime', 'Mário Franco', 'João Robert']], 'Operador de Imagem': [['Mário Castanheira']], 'Produção': [['GER']], 'Sonoplastia/Mistura': [['Vasco Pimentel', 'Joaquim Pinto']]}
Onde a Terra Acaba e o Mar Começa...;1947;;;['Documentário'];[];[];[];{}
Em Fuga;1998;M/12;97 min;['Comédia'];['Bruno de Almeida'];['Joseph Minion'];['Agnes Jaqui', 'Anna Köhler', 'Anthony Zaccaro', 'Arthur J. Nascarella', 'Bronson Dudley', 'Drena De Niro', 'Dwight Ewell', 'Eddie Branquinho', 'Jason Pabon', 'Joaquim de Almeida', 'John Frey', 'John Ventimiglia', 'Joseph R. Gannascoli', 'Kate Lunsford', 'Luís Fontes', 'Michael Imperioli', 'Miguel Ferreira', 'Nick Sandow', 'Paul Lazar', 'Sara Graça', 'Saul Negron', 'Sharon Angela', 'Suzanne Shepherd', 'Tino Navarro', 'Tom Gilroy', 'Victor Argo'];{'Adereços': [['Sara Baldocchi']], 'Assistente de Realização': [['Vince P. Maggio']], 'Casting': [['Georgianne Walken', 'Sheila Jaffe']], 'Co-Produtor': [['Raymond Parizer', 'Isabelle Parion']], 'Desenho de Produção': [['Andy Bernard']], 'Direcção de Arte': [['Andrew Bernard', 'Jordan Jacobs']], 'Direcção de Fotografia': [['Igor Sunara']], 'Efeitos Especiais': [['Alex Weil', 'Alex Weil']], 'Figurinos': [['Cat Thomas']], 'Ideia Original': [['Bruno de Almeida', 'Jonathan Berman']], 'Montagem': [['Beatrice Sisul']], 'Música': [['Frank London']], 'Produção': [['MGN Filmes', 'Arco Films', 'CLT-UFA', 'RTP', 'Sunday Films']], 'Produção Executiva': [['Tino Navarro', 'Bruno de Almeida']], 'Produtor': [['Tino Navarro']], 'Som': [['Brian Bowles', 'Coll Anderson', 'Frank Morrone', 'David Pastecchi']]}
Olivos;1952;;;['Documentário'];[];[];[];{}
Olivicultura em Portugal;1980;;18 min;['Documentário'];['Félix da Cruz'];[];[];{}
A Oliveira, Sua Cultura e Extracção do Azeite;1933;;64 min;['Documentário'];['Adolfo Coelho'];[];[];{}
Oliveira, o Arquitecto;1993;N/C;76 min;['Documentário'];['Paulo Rocha'];['Paulo Rocha'];[];{'Anotação': [['Júlia Buisel']], 'Assistente de Imagem': [['Lorete Roque']], 'Assistente de Montagem': [['Danielle Anezin']], 'Assistente de Produção': [['Amélia Gomes Ferreira', 'João Diogo Casaca', 'Isabelle Coulumb']], 'Assistente de Realização': [['Júlia Buisel']], 'Caracterização': [['Maria Tereza Trabulo']], 'Direcção de Produção': [['Manuel Guanilho']], 'Direcção de Som': [['Gita Cerveira']], 'Electricista': [['Emílio Castro']], 'Fotografia': [['Elso Roque']], 'Fotografia de Cena': [['Pedro Efe']], 'Maquinista': [['Pedro Efe']], 'Montagem': [['Victor Moreira']], 'Música': [['Paulo Brandão']], 'Participação': [['João Pedro Bénard da Costa', 'Leonor Silveira', 'Manoel de Oliveira', 'Paulo Rocha', 'Maria Isabel Oliveira']], 'Produção': [['Suma Filmes', 'Arte-La Sept']], 'Produção Executiva': [['RTP']], 'Produtor Delegado': [['José Manuel Figueiredo']], 'Secretária de Produção': [['Júlia Justino']], 'Sonoplastia': [['João Gaspar']]}
A Oliveira e a Pirite;1965;;;['Documentário', 'Curta-metragem'];['Jean Leduc'];[];[];{'Produção': [['Felipe de Solms']]}
Olivais;1965;;;['Documentário'];['Mário Pires'];[];[];{}
Olhão Industrial e Comercial;1932;;;['Documentário'];[];[];[];{}
Olhão Industrial II;1932;;;['Documentário'];[];[];[];{}
Olhão Industrial I;1932;;;['Documentário'];[];[];[];{}
